"id_comuna","id_region","comuna","despacho","webpay","_tx"
174,16,EL CARMEN,1,0,1
175,16,YUNGAY,1,0,1
176,16,PEMUCO,1,0,1
177,16,CHILLÁN VIEJO,1,0,1
178,8,LOTA,1,0,1
179,8,LEBU,1,0,1
180,8,ARAUCO,1,0,1
181,8,CURANILAHUE,1,0,1
182,8,LOS ÁLAMOS,1,0,1
183,8,CAÑETE,1,0,1
184,8,CONTULMO,1,0,1
185,9,TIRÚA,1,0,1
186,8,LOS ÁNGELES,1,0,1
187,8,TUCAPEL,1,0,1
188,8,ANTUCO,1,0,1
189,8,QUILLECO,1,0,1
190,8,SANTA BÁRBARA,1,0,1
191,8,QUILACO,1,0,1
192,8,MULCHÉN,1,0,1
193,8,NEGRETE,1,0,1
194,8,NACIMIENTO,1,0,1
195,8,LAJA,1,0,1
196,8,SAN ROSENDO,1,0,1
197,9,ANGOL,1,0,1
198,9,RENAICO,1,0,1
199,9,COLLIPULLI,1,0,1
200,9,ERCILLA,1,0,1
201,9,TRAIGUÉN,1,0,1
202,9,LUMACO,1,0,1
203,9,PURÉN,1,0,1
204,9,LOS SAUCES,1,0,1
205,9,LONQUIMAY,1,0,1
206,9,CURACAUTÍN,1,0,1
207,9,VICTORIA,1,0,1
208,9,LAUTARO,1,0,1
209,9,PERQUENCO,1,0,1
210,9,VILCUN,1,0,1
211,9,MELIPEUCO,1,0,1
212,9,GALVARINO,1,0,1
213,9,TEMUCO,1,0,1
214,9,PADRE LAS CASAS,1,0,1
215,9,FREIRE,1,0,1
216,9,PITRUFQUÉN,1,0,1
217,9,TEODORO SCHMIDT,1,0,1
218,9,SAAVEDRA,1,0,1
219,9,CARAHUE,1,0,1
220,9,NUEVA IMPERIAL,1,0,1
221,9,CUNCO,1,0,1
222,9,CURARREHUE,1,0,1
223,9,PUCÓN,1,0,1
224,9,VILLARRICA,1,0,1
225,9,GORBEA,1,0,1
226,9,LONCOCHE,1,0,1
227,9,TOLTÉN,1,0,1
228,14,VALDIVIA,1,0,1
229,14,MARIQUINA,1,0,1
230,14,LANCO,1,0,1
231,14,CORRAL,1,0,1
233,14,LOS LAGOS,1,0,1
