"id_ciudad","id_region","ciudad","origen","destino","_tx"
298,7,TENO,0,1,1
299,7,SAGRADA FAMILIA,0,1,1
307,8,SAN PEDRO DE LA PAZ,1,1,1
309,12,SAN GREGORIO,0,1,1
325,8,LIRQUEN,0,1,1
333,16,YUNGAY,1,1,1
344,9,PADRE LAS CASAS,1,1,1
345,9,PUERTO SAAVEDRA,1,1,1
368,14,NIEBLA,0,1,1
385,10,DALCAHUE,1,1,1
388,10,CASTRO,1,1,1
389,10,ANCUD,1,1,1
437,13,BUIN,1,1,1
439,13,CAJON DEL MAIPO,0,1,1
440,13,COLINA,1,1,1
441,13,CURACAVI,1,1,1
442,13,EL MONTE,0,1,1
443,13,ISLA DE MAIPO,0,1,1
444,13,LAMPA,1,1,1
445,13,LONQUEN,0,1,1
446,13,MAIPO,0,1,1
447,13,MALLOCO,0,1,1
448,13,MARIA PINTO,0,1,1
449,13,MELIPILLA,1,1,1
450,13,PADRE HURTADO,1,1,1
451,13,PAINE,0,1,1
452,13,PENAFLOR,1,1,1
453,13,PIRQUE,0,1,1
454,13,SAN JOSE DE MAIPO,0,1,1
456,13,TALAGANTE,1,1,1
458,13,CALERA DE TANGO,1,1,1
459,13,NOS,0,1,1
461,13,SANTA ROSA DE CHENA,0,1,1
502,6,PERALILLO,0,1,1
508,7,LINARES,1,1,1
514,5,PENABLANCA,0,1,1
516,6,ROSARIO,0,1,1
518,5,NOGALES,0,1,1
523,1,ALTO HOSPICIO,1,1,1
572,5,CALLE LARGA,0,1,1
575,13,LINDEROS,0,1,1
588,5,ALGARROBO,1,1,1
589,5,EL QUISCO,1,1,1
591,5,CARTAGENA,0,1,1
592,5,LLOLLEO,1,1,1
593,11,PUERTO AYSEN,1,1,1
594,10,LOS MUERMOS,0,1,1
600,9,CHOLCHOL,0,1,1
601,9,CURARREHUE,0,1,1
602,10,RIO NEGRO,0,1,1
603,14,LLIFEN,0,1,1
604,16,BULNES,1,1,1
605,14,FUTRONO,1,1,1
606,14,LAGO RANCO,1,1,1
888,2,LA NEGRA,0,1,1
1007,5,ROCAS DE SANTO DOMINGO,0,1,1
1011,5,ARTIFICIO,0,1,1
1015,6,PALMILLA SAN FERNANDO,0,1,1
1016,6,PLACILLA (SAN FERNANDO),0,1,1
1018,6,SAN FRANCISCO DE MOSTAZAL,0,1,1
1019,5,HORCON,0,1,1
1020,10,LLANQUIHUE,0,1,1
1021,3,FREIRINA,0,1,1
1022,1,PICA,0,1,1
1023,1,HUARA,0,1,1
1024,4,ANDACOLLO,0,1,1
1025,4,LA HIGUERA,0,1,1
1026,4,CANELA,0,1,1
1027,4,PUNITAQUI,0,1,1
1028,5,PANQUEHUE,0,1,1
1030,6,COLTAUCO,0,1,1
1031,6,PICHILEMU,1,1,1
1032,7,RIO CLARO,0,1,1
1033,7,HUALANE,0,1,1
1034,7,LICANTEN,0,1,1
1035,7,RAUCO,0,1,1
1036,7,ROMERAL,1,1,1
1037,7,VICHUQUEN,0,1,1
1038,7,CONSTITUCION,1,1,1
1039,7,CUREPTO,0,1,1
1040,7,PELARCO,0,1,1
1041,7,PENCAHUE,0,1,1
1042,7,SAN RAFAEL,0,1,1
1043,7,COLBUN,0,1,1
1044,7,RETIRO,1,1,1
1045,7,YERBAS BUENAS,0,1,1
1046,16,COIHUECO,0,1,1
1047,8,NIQUEN,0,1,1
1048,16,PEMUCO,0,1,1
1049,16,PINTO,0,1,1
1050,16,SAN IGNACIO,0,1,1
1051,16,SAN NICOLAS,0,1,1
1052,8,FLORIDA,0,1,1
1053,8,SANTA JUANA,0,1,1
1054,8,NEGRETE,0,1,1
1055,8,QUILLECO,0,1,1
1056,8,ALTO BIO BIO,0,1,1
1057,9,TIRUA,0,1,1
1058,9,CUNCO,1,1,1
1059,9,TEODORO SCHMIDT,0,1,1
1060,9,LONQUIMAY,1,1,1
1061,9,PUREN,1,1,1
1062,10,CHONCHI,0,1,1
1063,10,QUELLON,1,1,1
1064,10,PUERTO OCTAY,0,1,1
1065,10,PUYEHUE,0,1,1
1067,13,TILTIL,0,1,1
1068,10,CURACO DE VELEZ,0,1,1
1069,10,MAULLIN,0,1,1
1070,9,PERQUENCO,0,1,1
1071,10,PUQUELDON,0,1,1
1072,10,QUEMCHI,1,1,1
1073,9,RENAICO,0,1,1
1074,10,SAN PABLO,1,1,1
1081,5,PUTAENDO,0,1,1
1083,8,SAN ROSENDO,0,1,1
